gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Biomass,Surocciden,Biomass,2024,1445.185167824095,0.0,0.0,217.86487187198273,62903281.197555155,31625264.80093701,65.40929709430701,0.7572376141296691,0.0,0.0
Biomass,Surocciden,Biomass,2025,1451.0038116354913,0.0,0.0,288.0145007543175,81963138.72078945,41207774.25589283,84.88669153656518,0.5751089062904288,0.0,0.0
Biomass,Surocciden,Biomass,2026,1394.75787382111,0.0,0.0,356.6304799672623,99510869.05459706,50030073.78319721,107.21641773429,0.4464535263007314,0.0,0.0
Biomass,Surocciden,Biomass,2027,1385.20677960879,0.0,0.0,427.2011806375514,116497469.43919796,58570257.69551291,126.38382204868611,0.37015025935376106,0.0,0.0
Biomass,Surocciden,Biomass,2028,1377.5142717951862,0.0,0.0,498.8949593670722,132697049.92988174,66714742.65296521,144.76205195534715,0.3151975875790559,0.0,0.0
Biomass,Surocciden,Biomass,2029,1368.9795408829623,0.0,0.0,571.1818024926539,148004922.9201673,74410905.98001651,162.46833663907816,0.2736015093883382,0.0,0.0
Biomass,Surocciden,Biomass,2030,1368.7369659449978,0.0,0.0,643.5760169578933,162393662.2727425,81644970.25467002,178.29476268942906,0.2427817506822982,0.0,0.0
Biomass,Surocciden,Biomass,2031,1369.578847457856,0.0,0.0,716.4183273477605,175966827.13297114,88468983.57661356,193.0781942203746,0.2182309013066572,0.0,0.0
Biomass,Surocciden,Biomass,2032,1377.881583381616,0.0,0.0,790.317228455505,188856406.90384334,94949326.01255389,205.97251341430754,0.19902440758078951,0.0,0.0
Biomass,Surocciden,Biomass,2033,1393.7564835662574,0.0,0.0,865.2134955144252,201041465.23506752,101075466.17663826,216.76450296300527,0.18389059143960212,0.0,0.0
Biomass,Surocciden,Biomass,2034,1413.1678088257186,0.0,0.0,940.3756694498554,212381045.2408622,106776517.06964064,225.8454801455667,0.17154902169686514,0.0,0.0
Biomass,Surocciden,Biomass,2035,1419.1756836496595,0.0,0.0,1014.221474680712,222763724.44230267,111996529.34979942,235.88358907842004,0.15973469367922097,0.0,0.0
Eolica,Caribe,Wind,2023,2573.9290086331052,0.0,0.0,32.0,5395834.247909282,882240.0,2.439101555191406,9.18210976253248,0.0,0.0
